iter	Logloss
0	0.6870051806
1	0.6805648472
2	0.6753125802
3	0.6707982376
4	0.6647935077
5	0.6601264114
6	0.6555044575
7	0.6512960128
8	0.6466979315
9	0.6420298155
10	0.6362919482
11	0.631320547
12	0.6258084765
13	0.6203898542
14	0.6152137725
15	0.6114659908
16	0.6074726151
17	0.6028601118
18	0.5987445607
19	0.5942440031
20	0.5884358205
21	0.5846698555
22	0.5812555149
23	0.5781668625
24	0.574298707
25	0.569541064
26	0.566324494
27	0.5621787396
28	0.5569398737
29	0.5530824832
30	0.5497563673
31	0.5461305246
32	0.5436208067
33	0.5413184746
34	0.5378166311
35	0.5331511587
36	0.529935431
37	0.5266987537
38	0.5237831516
39	0.5216622848
40	0.5180119055
41	0.5151888522
42	0.510546056
43	0.5078042622
44	0.5060173348
45	0.5039915306
46	0.5004868276
47	0.4985237689
48	0.4958260251
49	0.4928983141
50	0.4907909567
51	0.4887317261
52	0.4873484915
53	0.4838505833
54	0.4816422514
55	0.4797894148
56	0.4774620972
57	0.4761852295
58	0.4741668516
59	0.4727266746
60	0.4713214617
61	0.4696352434
62	0.4683717376
63	0.4670681394
64	0.4652798953
65	0.4639660352
66	0.4620836113
67	0.459933656
68	0.458099816
69	0.4549944049
70	0.4533825977
71	0.4518127536
72	0.4500966859
73	0.4490872122
74	0.4476431591
75	0.4462089112
76	0.4450211444
77	0.4435968357
78	0.4424315116
79	0.4409075776
80	0.4392827284
81	0.4384760341
82	0.437058984
83	0.4362119706
84	0.4350776376
85	0.433049092
86	0.4323178919
87	0.430471821
88	0.4296530328
89	0.4287306692
90	0.4276671832
91	0.4264768487
92	0.4256443141
93	0.4245260986
94	0.4233155045
95	0.421009144
96	0.4200802828
97	0.4196143701
98	0.4177060228
99	0.4166030418
100	0.4148866473
101	0.4138895332
102	0.4129384352
103	0.4124710991
104	0.4113373287
105	0.4091008136
106	0.4084198613
107	0.4075607857
108	0.4066171065
109	0.4049659483
110	0.4033597109
111	0.4015466767
112	0.401104591
113	0.3998124491
114	0.3994805248
115	0.3985459462
116	0.3980902058
117	0.3971117959
118	0.3963046119
119	0.3958252512
120	0.39512176
121	0.3946907234
122	0.3942293325
123	0.3935905159
124	0.3924724663
125	0.3921996767
126	0.3915246834
127	0.3908798349
128	0.3900862579
129	0.389851329
130	0.3890661954
131	0.3886431401
132	0.3880918089
133	0.3877928691
134	0.3868510034
135	0.3864245182
136	0.385395411
137	0.3843161211
138	0.3838967636
139	0.3833866417
140	0.38276499
141	0.3820260228
142	0.3808622381
143	0.3801358673
144	0.3796453565
145	0.3791893336
146	0.3784699234
147	0.3781886433
148	0.3776216453
149	0.3768879128
150	0.3766812316
151	0.3762673895
152	0.3747605387
153	0.3743976387
154	0.3737896576
155	0.3732945466
156	0.3725311359
157	0.3718860342
158	0.3709752035
159	0.3699399792
160	0.3696569799
161	0.3688822351
162	0.3683499777
163	0.3679102842
164	0.3669911148
165	0.3666096673
166	0.3663115653
167	0.3659180472
168	0.3652421806
169	0.3650053726
170	0.364827915
171	0.3645919216
172	0.3639900374
